sigma,other,duration,p0_c,p0_b,lo_c,lo_b,hi_c,hi_b,cs,bs,error,time_total
A,L12,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.800417767932607,0.30018090303491884,6.016285661993639e-7,2.364238401
B,A,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.9133364568273645,0.32336818467574224,0.0003767977775346579,0.002258001
B,B,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7998250946984626,0.29994055919174833,2.2542861280838026e-5,0.010015
B,R,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,2.318839708480482,0.3697592234103096,0.2997869723926828,0.010550701
B,L1,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.9136746699702485,0.32347883493291657,0.000394897091269191,0.3715777
B,L12,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.9133364568273645,0.32336818467574224,0.000378081132460049,2.663027599
R,A,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.4845639787381515,0.25327066102530604,0.00031169463867790066,0.002246099
R,B,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.4247709022092465,0.2365630567519425,0.14683282474044965,0.0139888
R,R,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.803119795396924,0.30122199604288435,0.002179170543833596,0.0078239
R,L1,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.484766140813008,0.2533535409066805,0.0003034102077315308,0.3613412
R,L12,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.4845639787381515,0.25327066102530604,0.00031074085600044365,2.5355482
L1,A,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7994137085097608,0.2997588539415815,7.677055246215304e-7,0.0021618
L1,B,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.705346767208539,0.27885383671382624,0.05101509869564988,0.0336829
L1,R,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,2.1808624267578125,0.34619750976562436,0.07477267966296702,0.0058844
L1,L1,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.800417767932607,0.30018090303491884,3.9052715855961816e-7,0.359163299
L1,L12,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7994137085097608,0.2997588539415815,6.014765589929321e-7,2.3651813
L12,A,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.800417767932607,0.30018090303491884,6.121269703600488e-7,0.002276
L12,B,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7055020332336426,0.27891139030456735,0.049037033666466535,0.009573601
L12,R,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,2.1808624267578125,0.34619750976562436,0.0773829192165827,0.0212016
L12,L1,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.7995163754238437,0.29983182648638984,1.289723053923567e-6,0.338302101
L12,L12,8.333333333333334,2.0,0.7,0.0,0.01,100.0,0.99,1.800417767932607,0.30018090303491884,3.908620635360182e-7,2.405283
A,A,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000333248346578,0.30001112885598574,2.2938312616197706e-9,0.002762999
A,B,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.7076037550723413,0.28031748851150207,0.06389131009462332,0.011256901
A,R,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,2.1775740238372236,0.34465619852300705,0.1009882018541145,0.009859601
A,L1,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000170439481735,0.2999997380375864,4.406684994234339e-7,0.5139586
A,L12,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.799988457139989,0.29999605845325295,1.9097324961226694e-7,3.8919399
B,A,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.9098486098152159,0.3217108337105194,0.00043003424325962965,0.0030674
B,B,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000245530201937,0.30001088859586145,4.413671190149625e-7,0.010282499
B,R,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,2.3097278038039804,0.3661823965911772,0.3868431957335118,0.012675101
B,L1,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.9101030058165094,0.3217871928879382,0.00044786945463651484,0.589492601
B,L12,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.9098551487162267,0.32171441838057346,0.00043120451708481987,4.0464546
R,A,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.60009765625,0.304447021484374,0.027063489383057453,0.001148899
R,B,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.4285635179840028,0.239518164398614,0.19503663209193228,0.012057
R,R,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.7999841873461264,0.29999459269180084,7.326260488132876e-8,0.0145869
R,L1,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.60009765625,0.304447021484374,0.026979250443832776,0.200058801
R,L12,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.60009765625,0.304447021484374,0.027061200212500563,1.3581153
L1,A,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.800062283873558,0.3000205913186075,5.339284019007564e-7,0.0022694
L1,B,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.7075085443411808,0.2802850957442221,0.06632299851338071,0.0099147
L1,R,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,2.1765434946864843,0.34437430799007385,0.09776719651279045,0.009380601
L1,L1,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000333248346578,0.30001112885598574,2.2914593000908435e-9,0.5856321
L1,L12,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.800062283873558,0.3000205913186075,3.7944785628588085e-7,3.468901599
L12,A,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000333248346578,0.30001112885598574,1.9327889594530215e-7,0.0028324
L12,B,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.7076037550723413,0.28031748851150207,0.06405653125305755,0.011761301
L12,R,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,2.1775740238372236,0.34465619852300705,0.1006234081408785,0.0102151
L12,L1,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000170439481735,0.2999997380375864,2.8718423783761084e-7,0.5183599
L12,L12,9.444444444444445,2.0,0.7,0.0,0.01,100.0,0.99,1.8000333248346578,0.30001112885598574,2.2938272805756482e-9,3.701146099
A,A,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.800046600134376,0.30001453216950436,4.959593482007184e-9,0.0026866
A,B,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.7213478088378906,0.28620641708373856,0.18410805021976898,0.0096591
A,R,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,2.1730640828609467,0.34295916169882024,0.12926620377382222,0.011004801
A,L1,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.8002620379077143,0.3000826360690403,3.5613534638763e-7,0.6248342
A,L12,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.80004119201719,0.30001622132201566,1.7593063806181564e-7,4.2787713
B,A,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.910919189453125,0.32168853759765703,0.0005239962251050307,0.0014522
B,B,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.799994179827081,0.299998710849251,7.843637435152462e-8,0.0120807
B,R,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,2.300844959543042,0.36300192375556184,0.4899479761058367,0.0134576
B,L1,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.910919189453125,0.32168853759765703,0.0005382584312606549,0.381512399
B,L12,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.910919189453125,0.32168853759765703,0.0005250302767553881,2.4180621
R,A,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.4853971004486084,0.2546725177764903,0.000495825597951509,0.0021486
R,B,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.4325221744657028,0.24219429892662414,0.25352243299035776,0.0129046
R,R,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.7987756729125977,0.29959737777709977,0.0005211300144486286,0.023754101
R,L1,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.4912142753601074,0.2571663832664496,0.0004150671566996743,0.4901217
R,L12,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.4853971004486084,0.2546725177764903,0.0004950637785034278,2.751689
L1,A,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.799711391562596,0.29990872534922675,3.664053953809288e-7,0.002422899
L1,B,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.7213478088378906,0.28620641708373856,0.18908919634676938,0.0089462
L1,R,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,2.1726974695920944,0.34284862324595655,0.12564282161361134,0.0086201
L1,L1,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.800046600134376,0.30001453216950436,4.9553250305472e-9,0.640887799
L1,L12,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.799711391562596,0.29990872534922675,2.3239699689343328e-7,3.7872916
L12,A,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.8000189257586916,0.30000735425175235,1.7134375484060956e-7,0.0031606
L12,B,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.7213478088378906,0.28620641708373856,0.1843175379751559,0.006664299
L12,R,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,2.1730640828609467,0.34295916169882024,0.12889657923014722,0.0091462
L12,L1,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.8001646646893619,0.3000454094359211,2.0963446717022425e-7,0.6428479
L12,L12,10.555555555555555,2.0,0.7,0.0,0.01,100.0,0.99,1.800046600134376,0.30001453216950436,4.959587581323876e-9,4.312223399
A,A,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.800000856135739,0.3000002398208059,2.191994979451334e-12,0.004272401
A,B,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7188866138458252,0.2852775406837466,0.1474355154891683,0.0152513
A,R,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,2.181295156478882,0.3447469216585175,0.21970719033878136,0.0091232
A,L1,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.8000292496253678,0.30000507489269235,3.500581727749559e-7,0.791323499
A,L12,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.800007872399874,0.30000248776283545,1.540056554739134e-7,7.2945954
B,A,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.9034701585769653,0.3190841555595405,0.0005352727637811905,0.0032682
B,B,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7997491209862346,0.299916063960845,5.2306067160896436e-5,0.0131579
B,R,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,2.2943105697631836,0.36072401046753066,0.6008943558287617,0.008818699
B,L1,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.899240493774414,0.31776882171630827,0.0005976579270734432,0.495557
B,L12,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.9034701585769653,0.3190841555595405,0.0005362693377766814,5.258008601
R,A,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.4950779974460602,0.2589801167324197,0.00048587901537724775,0.002186699
R,B,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.4360612165090385,0.2443525984633575,0.3173871311688699,0.0168771
R,R,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.8000437110167695,0.3000166857920673,1.6403158684955983e-6,0.020584
R,L1,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.4950779974460602,0.2589801167324197,0.00047657505672366247,0.580011801
R,L12,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.4950779974460602,0.2589801167324197,0.00048510046136822886,3.877313399
L1,A,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7997411714168265,0.29992821620312043,3.4850286288193683e-7,0.0028173
L1,B,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7188866138458252,0.2852775406837466,0.1519035093359031,0.008257101
L1,R,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,2.181295156478882,0.3447469216585175,0.2175113489330322,0.007595199
L1,L1,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.800000856135739,0.3000002398208059,2.1905629490895803e-12,1.1363027
L1,L12,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7997411714168265,0.29992821620312043,2.2691695630428345e-7,5.092365101
L12,A,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7999990776879713,0.29999971887097193,1.5392597785660886e-7,0.0045941
L12,B,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.7188866138458252,0.2852775406837466,0.14763717612501565,0.009167999
L12,R,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,2.181295156478882,0.3447469216585175,0.21934863035847182,0.0083716
L12,L1,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.8000292496253678,0.30000507489269235,2.2618970639312052e-7,0.7846246
L12,L12,11.666666666666666,2.0,0.7,0.0,0.01,100.0,0.99,1.800000856135739,0.3000002398208059,2.1919935621855884e-12,7.747050099
A,A,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799981929917906,0.2999947140350967,8.211621460484479e-10,0.003639499
A,B,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.7133934497833252,0.28340833902359003,0.12114786936716825,0.0168536
A,R,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,2.164770720604338,0.34016054304492344,0.19453440463658742,0.017633899
A,L1,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.8001153217356283,0.3000296100812163,2.9101505202527935e-7,0.900716599
A,L12,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.800019317436104,0.30000604310547685,1.415264981102763e-7,6.2129454
B,A,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.9008018484768172,0.3180802682177054,0.0005849558638044605,0.0032439
B,B,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.8001775741577148,0.30005743503570165,3.008651439144107e-5,0.0138364
B,R,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,2.2836332989973016,0.3577095608423351,0.7237351624851401,0.030834901
B,L1,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.9009805188979954,0.3181273848842837,0.0006020168681817208,0.9026796
B,L12,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.9008018484768172,0.3180802682177054,0.0005858853136529521,6.4187817
R,A,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.4964964389801025,0.25976188659667976,0.0005402839343314078,0.0023263
R,B,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.4389516562223434,0.24601392298936847,0.3896364050684426,0.0104285
R,R,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.8152787685394287,0.30465006351470914,0.11507618024023457,0.007849199
R,L1,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.497040033340454,0.25996235847473137,0.0005326976844065507,0.554952101
R,L12,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.4964964389801025,0.25976188659667976,0.0005395610007131188,4.6960726
L1,A,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799802196024018,0.29994555669195455,2.967064823357578e-7,0.002791299
L1,B,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.7134392261505127,0.2834345078468322,0.12448765744260082,0.012411099
L1,R,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,2.1645009780586406,0.34010661690386945,0.1902775655247403,0.013197101
L1,L1,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799981929917906,0.2999947140350967,8.206255518841965e-10,0.9153661
L1,L12,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799802196024018,0.29994555669195455,1.8499542060932584e-7,5.695309801
L12,A,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.799981929917906,0.2999947140350967,1.4136276938908078e-7,0.002882301
L12,B,12.777777777777779,2.0,0.7,0.0,0.01,100.0,0.99,1.7133934497833252,0.28340833902359003,0.12133253378279289,0.0126476
